t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
21.259026050568,"[6.014804363250732, -4.981699466705322, -7.856363296508789]","[6.111263961609098, -5.138936155608777, -6.655722104081328]","[-0.26175034046173096, 0.42454251646995544, 0.5621281862258911]","[0.0, 0.0, 0.0]","[-0.012400164268910885, -0.00979700405150652, -0.0007149528246372938, 0.9998748898506165]","[[0.9998070151081466, 0.0016726956727289351, -0.0195738256287922], [-0.0011867578344014699, 0.9996914495371252, 0.024811234556452857], [0.019609287758672298, -0.024783216973574426, 0.9995005092754375]]","[-0.2634063959121704, -0.10754796862602234, 0.004741406533867121]",[0.5516281893529312],"[0.017499644054022805, -0.010997432463559009, 0.00019249227610675432, 0.9997863681226682]",[0.7160147116093608],"[0.5090372298356203, -0.6296720733902336, -18.74657796133929]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.274072408676,"[6.010902404785156, -4.975362300872803, -7.848047733306885]","[6.107578906706672, -5.133098921466433, -6.6459413468307655]","[-0.2584981918334961, 0.4202945828437805, 0.5496145486831665]","[0.0, 0.0, 0.0]","[-0.015677886083722115, -0.011339491233229637, -0.0006918202852830291, 0.9998125433921814]","[[0.9997418746465287, 0.0017389397016021393, -0.022653038582091185], [-0.00102782269439438, 0.9995074505452775, 0.031365584100878065], [0.022696423700583484, -0.03133420454063831, 0.9992512396530346]]","[-0.41197508573532104, -0.21022407710552216, 0.004793739411979914]",[0.9331454403417228],"[-0.20778481577223612, 0.12954389379574402, 0.027773777907720662, 0.9691607024510782]",[0.7160147116093608],"[0.630169960605413, -0.8470367067855633, -24.513279195674237]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.290062665939,"[6.007049560546875, -4.969091415405273, -7.839756011962891]","[6.10367894146404, -5.126913339550367, -6.635522988496124]","[-0.25531190633773804, 0.415859580039978, 0.5586012601852417]","[0.0, 0.0, 0.0]","[-0.015344347804784775, -0.011313652619719505, -0.0006521429168060422, 0.9998180866241455]","[[0.9997431519480328, 0.0016512498080519938, -0.022603175614488616], [-0.0009568473250940318, 0.9995282514001237, 0.03069786916218895], [0.022643202445424213, -0.030668356688512335, 0.9992731045096922]]","[0.20379355549812317, 0.06906495988368988, 0.004849070683121681]",[0.29078295608322274],"[0.17072657512234202, -0.1071390245976599, 0.01867815173256006, 0.9792981122227862]",[0.7160147116093608],"[0.413448233043898, -0.5722769747150872, -13.103251307230357]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.306034088135,"[6.003241539001465, -4.962882995605469, -7.83122444152832]","[6.099800096112372, -5.120753379027691, -6.62509238625562]","[-0.25238627195358276, 0.4118771255016327, 0.5796566009521484]","[0.0, 0.0, 0.0]","[-0.01856711506843567, -0.013218395411968231, -0.0006235577166080475, 0.9997400641441345]","[[0.9996497703970139, 0.0017376462004667914, -0.02640676361833516], [-0.0007559363259304064, 0.9993097468276191, 0.03714106248389942], [0.02645307428983945, -0.037108092754058186, 0.9989610725215367]]","[-0.7570539116859436, -0.4102977514266968, 0.0046911695972085]",[0.6150640927746099],"[-0.017774905029232218, 0.010918719644413714, 0.000194121450471916, 0.9997823746342955]",[0.7160147116093608],"[0.5268760401504158, -0.7278056796759917, -16.568451352098233]","[424.2276916503906, 542.6715698242188, 653.9681396484375, 206.20436096191406]"
21.322027683258,"[5.998734951019287, -4.9555206298828125, -7.820554733276367]","[6.095932210042064, -5.114603216586453, -6.6146229539434565]","[-0.24814075231552124, 0.40582627058029175, 0.6022031903266907]","[0.0, 0.0, 0.0]","[-0.01817709393799305, -0.013098985888063908, -0.0005793468444608152, 0.9997488260269165]","[[0.9996561618518762, 0.001634605649183763, -0.026170329843441188], [-0.0006821996612646312, 0.9993385152264064, 0.03636023436245884], [0.026212453211498964, -0.03632987893789929, 0.9989960196493474]]","[0.8387706875801086, 0.42933011054992676, 0.0044581410475075245]",[0.606871647878775],"[-0.008848068891663615, 0.005176485797049598, 4.580430971785435e-05, 0.999947455406356]",[0.7160147116093608],"[0.6536736197600561, -0.923419924976044, -16.301567177490288]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.338037252426,"[5.9950408935546875, -4.949471473693848, -7.8115339279174805]","[6.092076633836978, -5.108465288759126, -6.604118865707989]","[-0.24453255534172058, 0.40096989274024963, 0.5994566679000854]","[0.0, 0.0, 0.0]","[-0.012321153655648232, -0.009861118160188198, -0.0005294542643241584, 0.9998753666877747]","[[0.9998049560536256, 0.0013017772575074117, -0.019706731298050544], [-0.0008157758492346838, 0.9996958177015518, 0.024649678081037213], [0.01973282524742805, -0.02462879403679355, 0.9995018950424495]]","[0.40611469745635986, 0.2925950288772583, 0.003942918963730335]",[0.6068702716724149],"[-0.009128479648418564, 0.005201589348076377, 4.748522347337677e-05, 0.9999448045130871]",[0.7160147116093608],"[0.533352053533998, -0.7014456200900463, -18.835287460843702]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.354035377502,"[5.991394519805908, -4.943484306335449, -7.802571773529053]","[6.088239770399984, -5.102350102349363, -6.593598304188604]","[-0.24166187644004822, 0.3972950577735901, 0.5955257415771484]","[0.0, 0.0, 0.0]","[-0.012829870916903019, -0.009176221676170826, -0.0005125977913849056, 0.9998754858970642]","[[0.9998310683985081, 0.0012605274106818071, -0.01833700508732944], [-0.0007896084522411705, 0.9996702633115198, 0.025665954255998963], [0.01836331134131247, -0.025647139412141112, 0.9995023827360108]]","[-0.389273077249527, -0.06627222895622253, 0.003937834873795509]",[0.6142312108083275],"[-0.014081407595399543, 0.008138166863410479, 0.00011461200478151494, 0.9998677267840602]",[0.7160147116093608],"[0.44955554871838976, -0.5949143552863713, -19.05987164902057]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.369795799255,"[5.987074851989746, -4.936377048492432, -7.79189395904541]","[6.084475311678279, -5.0963437044833695, -6.583210815550456]","[-0.23821833729743958, 0.39220139384269714, 0.5906127691268921]","[0.0, 0.0, 0.0]","[-0.015414333902299404, -0.009969634935259819, -0.0004902129876427352, 0.9998313784599304]","[[0.9998007321409688, 0.0012876112178998415, -0.01992079506677667], [-0.0006729100907953457, 0.9995243160031504, 0.030833243916209944], [0.019951020293475747, -0.030813694938100662, 0.9993260093792121]]","[-0.010451868176460266, -0.03672925755381584, 0.003961063921451569]",[0.6929779173757894],"[-0.05975114986092281, 0.036566395388292164, 0.0021902702044987424, 0.9975409272481184]",[0.7160147116093608],"[0.5435065955456546, -0.8176132867517943, -20.29178475209391]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.385303735733,"[5.983524799346924, -4.93052864074707, -7.783080101013184]","[6.0807858826688665, -5.090450886775474, -6.572967408107134]","[-0.23511268198490143, 0.3874734044075012, 0.5820238590240479]","[0.0, 0.0, 0.0]","[-0.014219705946743488, -0.009838270023465157, -0.00045044097350910306, 0.9998503923416138]","[[0.9998060110917495, 0.0011805417816963017, -0.01966078600946942], [-0.0006209525546629589, 0.999595194131435, 0.02844402025952174], [0.019686406562228077, -0.02842629401981368, 0.9994020168114671]]","[0.11210519820451736, -0.0013803355395793915, 0.003981302957981825]",[0.699944978470151],"[-0.06385071880347394, 0.038959073948360984, 0.0024945606354087797, 0.9971955943708346]",[0.7160147116093608],"[0.509094950955908, -0.760019140789306, -20.760588379408915]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.40131354332,"[5.980023384094238, -4.924752712249756, -7.774517059326172]","[6.076992174574738, -5.0843854129694, -6.562369463863364]","[-0.23167435824871063, 0.38249900937080383, 0.5585665106773376]","[0.0, 0.0, 0.0]","[-0.016729939728975296, -0.01119434367865324, -0.00042647315422073007, 0.9997972846031189]","[[0.9997490095805058, 0.0012273347931906348, -0.022369879085330918], [-0.00047821201299341753, 0.9994398544746271, 0.03346264479932281], [0.022398418565995476, -0.03344354845109055, 0.9991895915725381]]","[-0.7996516227722168, -0.3729802966117859, 0.0038887117989361286]",[0.4284052489338739],"[0.08752989856232204, -0.05565376648422317, 0.004897846387592335, 0.9945939805943693]",[0.7160147116093608],"[0.48208663125770584, -0.7042512212345937, -18.331101929689893]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.41631102562,"[5.976578235626221, -4.919060707092285, -7.766322612762451]","[6.073452100002455, -5.078720090726037, -6.552420592106101]","[-0.22764460742473602, 0.3762598931789398, 0.5400449633598328]","[0.0, 0.0, 0.0]","[-0.02397669292986393, -0.014659891836345196, -0.0004221288254484534, 0.9996049404144287]","[[0.9995698187572027, 0.0015469155687093637, -0.029287958104654375], [-0.00014093266892909254, 0.9988498800068035, 0.04794681814082753], [0.029328443117552862, -0.04792206468913922, 0.9984204115349874]]","[-0.7458261251449585, -0.37965160608291626, 0.0032549723982810974]",[0.9535727062818249],"[-0.20941198752741513, 0.12850112390182553, 0.02777201556558712, 0.9689493257065667]",[0.7160147116093608],"[0.8058804017999437, -1.2835010657546444, -25.397113426038388]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.432336568832,"[5.972522735595703, -4.912357330322266, -7.756433010101318]","[6.069683861736834, -5.072684175200485, -6.541767423037862]","[-0.22293490171432495, 0.36854657530784607, 0.5601534247398376]","[0.0, 0.0, 0.0]","[-0.023532461374998093, -0.014746983535587788, -0.0003850891662295908, 0.9996142387390137]","[[0.9995647563658703, 0.0014639468683923726, -0.029464465249386253], [-7.58155865965629e-05, 0.9988921499359366, 0.047058124733236166], [0.029500713633107165, -0.04703540911885968, 0.9984574994764707]]","[0.19596047699451447, 0.042220160365104675, 0.003011165652424097]",[0.24817284423542485],"[0.18865910662095983, -0.11809240159852058, 0.02285871308669671, 0.9746483496162578]",[0.7160147116093608],"[0.5764609654832324, -0.9398120258579543, -11.373889549953834]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
21.448312520981,"[5.969206809997559, -4.90687370300293, -7.747870445251465]","[6.065941997575344, -5.066685186982776, -6.531124473533028]","[-0.21913646161556244, 0.3624992072582245, 0.5819912552833557]","[0.0, 0.0, 0.0]","[-0.027378106489777565, -0.01706482097506523, -0.0003660915535874665, 0.9994794130325317]","[[0.9994173157241267, 0.0016662069139601887, -0.034091828716248614], [0.00020260302957711418, 0.9985006105240176, 0.05474020218233496], [0.03413192029040512, -0.05471521303504515, 0.9979184623402467]]","[-0.8752731084823608, -0.46849048137664795, 0.002675062045454979]",[0.6190885030998963],"[-0.015729916553262797, 0.00869764832526672, 0.000136835389778136, 0.9998384379063017]",[0.7160147116093608],"[0.684327066978173, -1.0936358970460835, -16.538888268761724]","[426.78778076171875, 516.6710205078125, 640.1632080078125, 197.9002227783203]"
