t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
2.3157308101654,"[-0.00935473944991827, 0.5075180530548096, -4.53791618347168]","[-0.1228851963685814, 4.970815933390867, -5.325484654194333]","[0.047797612845897675, 2.181305408477783, 0.3017120957374573]","[0.9586500457199169, 1.1126178414625951, 0.027376484569054754]","[0.25292345881462097, -0.028493016958236694, -0.005126825999468565, 0.9670530557632446]","[[0.9983237272795776, -0.004497279303976698, -0.05770190736380612], [-0.024328930300586804, 0.8720068792728398, -0.4888886499614872], [0.05251512910570086, 0.48947296492206627, 0.8704357439317327]]","[0.07584919780492783, -0.22541315853595734, 0.07278244197368622]",[0.6567997287600663],"[0.258548308636738, 0.04416929177095147, -0.011835126060281078, 0.9649154240433054]",[0.68],"[1.4851647636826777, 13.161935306263164, -17.212946844626096]","[550.0203247070312, 547.7946166992188, 532.3977661132812, 532.3981323242188]"
2.3465003967285,"[-0.007635677698999643, 0.5753018260002136, -4.528646945953369]","[-0.0934167155527671, 5.004986806391294, -5.324642755633721]","[0.06718793511390686, 2.3378400802612305, 0.3158554434776306]","[0.9567793066564984, 1.1084639693834843, 0.027346289321694882]","[0.2538659870624542, -0.0319444015622139, -0.004799612797796726, 0.9666998982429504]","[[0.9979130378516465, -0.006939623660950356, -0.06419821636010875], [-0.025498764473892988, 0.8710580486595941, -0.49051780620412944], [0.05932438259838774, 0.49113108923835325, 0.8690632316432757]]","[0.06171393394470215, -0.2225123941898346, 0.08196855336427689]",[0.6614523360086343],"[0.2585046583517302, 0.047594947724570874, -0.012753027806600266, 0.9647525189618914]",[0.68],"[1.5821226286295917, 12.507461823598371, -17.39580129711154]","[550.5086669921875, 551.2830200195312, 533.2605590820312, 535.9611206054688]"
2.3767645359039,"[-0.005301551427692175, 0.6478022336959839, -4.518974304199219]","[-0.0644884382592163, 5.038471745448742, -5.32381559312187]","[0.08880849182605743, 2.4956858158111572, 0.32868045568466187]","[0.9549407496662465, 1.1043827153180756, 0.027316591415067596]","[0.25461533665657043, -0.03548864647746086, -0.004362273495644331, 0.9663811922073364]","[[0.997443053082294, -0.009640669217778952, -0.07081252445478967], [-0.026503145463599886, 0.8703040018184209, -0.4918013228210479], [0.0663697175160636, 0.4924205675487476, 0.8678231726209182]]","[0.050178125500679016, -0.22639665007591248, 0.09093872457742691]",[0.6660414828062593],"[0.2584578560209092, 0.05101247524971454, -0.013668751547073645, 0.964577850285355]",[0.68],"[1.7614390310800179, 12.617822670645634, -17.507339305599224]","[553.053955078125, 552.0599365234375, 536.5933837890625, 537.12353515625]"
2.4077546596527,"[-0.002284749411046505, 0.7250551581382751, -4.5089335441589355]","[-0.034923858981169634, 5.0726320042012985, -5.322969519765549]","[0.11270192265510559, 2.654644727706909, 0.34031134843826294]","[0.9530595807791089, 1.1002080633338462, 0.027286182471507582]","[0.25520485639572144, -0.03905687481164932, -0.003800333011895418, 0.9660903811454773]","[[0.9969202359978917, -0.012592077919261702, -0.07740466902738835], [-0.02727793859102884, 0.8697120774820758, -0.49280505570966227], [0.07352521526516159, 0.493398772232415, 0.8666900836039727]]","[0.04072936251759529, -0.22442872822284698, 0.0995895192027092]",[0.6705648721492965],"[0.25840588059300224, 0.05455678566087414, -0.014618446659469079, 0.964383875347661]",[0.68],"[1.9434753620744254, 12.715284738201179, -17.612715046554754]","[554.9375, 553.1927490234375, 539.4345092773438, 538.8877563476562]"
2.438502073288,"[0.0019033331191167235, 0.815558135509491, -4.497504234313965]","[-0.005648416740877448, 5.106396937133291, -5.32213100404588]","[0.1415829062461853, 2.8305108547210693, 0.35198748111724854]","[0.9511946368440756, 1.09607061093181, 0.027256013051034506]","[0.25570249557495117, -0.042944084852933884, -0.0030273019801825285, 0.9657965302467346]","[[0.9962932820377296, -0.016114303837216598, -0.08449867363355312], [-0.027809334831094018, 0.8692141383989257, -0.49365315657721287], [0.08140231894878647, 0.49417317542966255, 0.8655440786657722]]","[0.03240654245018959, -0.21999478340148926, 0.10858757048845291]",[0.6755218049147808],"[0.25834929756910574, 0.058169558561619455, -0.015586486240660832, 0.9641727046276334]",[0.68],"[2.267522169140041, 13.60415157684907, -17.66126269232697]","[554.6572265625, 556.2802124023438, 539.9508056640625, 542.6879272460938]"
2.4695043563843,"[0.006574295926839113, 0.9028845429420471, -4.486798286437988]","[0.02381165970121855, 5.140313020276484, -5.321286476932389]","[0.17020836472511292, 2.99135422706604, 0.36134129762649536]","[0.9493157387127289, 1.0919034051787002, 0.0272255949284384]","[0.25604286789894104, -0.04654189944267273, -0.0022179209627211094, 0.9655418395996094]","[[0.9956578648457425, -0.01955045184866755, -0.09101206810081311], [-0.028116433794396656, 0.8688742612493772, -0.49423375086616905], [0.08874053672453994, 0.49464665588384416, 0.8645518027887071]]","[0.02639986202120781, -0.22424444556236267, 0.1161455363035202]",[0.6799205674937868],"[0.2582877002994751, 0.061862272204575686, -0.016575945879170342, 0.9639428204877644]",[0.68],"[2.3239970184911183, 12.890035355610326, -17.82257164342967]","[556.5957641601562, 557.205322265625, 543.2808227539062, 544.7720947265625]"
2.5005054473877,"[0.01213853433728218, 0.9950491786003113, -4.475830554962158]","[0.053212379995869974, 5.17409868454442, -5.320442925247904]","[0.20113348960876465, 3.1530039310455322, 0.3695695996284485]","[0.947438423526938, 1.0877409206984223, 0.027195179357348713]","[0.25629574060440063, -0.05017949640750885, -0.001310868188738823, 0.9652941823005676]","[[0.9949605995297611, -0.023190835517131747, -0.09754789177241618], [-0.02825232926254162, 0.8686215499452671, -0.4946700172965515], [0.09620401203934592, 0.4949331321188217, 0.8635890229766612]]","[0.021487023681402206, -0.2243000566959381, 0.12305857241153717]",[0.6842365822683233],"[0.2582205210845586, 0.06565234275377518, -0.01759149222208533, 0.9636921042444834]",[0.68],"[2.5091630851889897, 12.965431770561054, -17.923174851905834]","[558.1658935546875, 557.9622192382812, 546.2654418945312, 546.7634887695312]"
2.5325286388397,"[0.019372880458831787, 1.1020421981811523, -4.463494300842285]","[0.08352135327202062, 5.20886283859832, -5.319572551851666]","[0.2377769500017166, 3.331453323364258, 0.37772467732429504]","[0.9455007997942021, 1.0834459888342982, 0.02716376244123665]","[0.25649115443229675, -0.054154928773641586, -0.00019299010455142707, 0.9650282859802246]","[[0.9941344128886827, -0.027408038579087454, -0.10462107669303779], [-0.028153002218313086, 0.8684245009056145, -0.49502153553104483], [0.10442307567419616, 0.49506334099250887, 0.862559062775019]]","[0.01724906638264656, -0.22041429579257965, 0.12986181676387787]",[0.6889512701953093],"[0.2581440406164005, 0.0697157082228339, -0.018680267718072123, 0.9634066752515306]",[0.68],"[2.8720160494565503, 13.842555602410705, -17.97533728933849]","[559.4729614257812, 558.6115112304688, 549.2393188476562, 548.9154052734375]"
2.5640201568604,"[0.027861976996064186, 1.2149360179901123, -4.450908660888672]","[0.11326662659201829, 5.242915755692719, -5.318717610188423]","[0.27719175815582275, 3.5106313228607178, 0.384730726480484]","[0.9435969179706858, 1.0792271108271254, 0.02713286857066319]","[0.25661733746528625, -0.058239199221134186, 0.0010005604708567262, 0.9647563695907593]","[[0.9932143891056504, -0.03182097065531517, -0.11185975448890026], [-0.027959782305636144, 0.8682930819819431, -0.4952629654153026], [0.11288679914491731, 0.4950298780529226, 0.8615114755726169]]","[0.014017678797245026, -0.2287648469209671, 0.1357397586107254]",[0.6935809546669032],"[0.2580609463513291, 0.073876327616029, -0.019795102324492015, 0.9630965632324666]",[0.68],"[3.0900007488285386, 13.914464182425835, -18.079916962810394]","[561.6563110351562, 558.771484375, 552.9661865234375, 550.510009765625]"
2.5949997901917,"[0.03674608841538429, 1.3227055072784424, -4.439280033111572]","[0.1424699213722897, 5.276285587833304, -5.317877514612756]","[0.3154802620410919, 3.6740188598632812, 0.39027607440948486]","[0.9417255041878453, 1.0750814016166272, 0.027102478261545607]","[0.2566826045513153, -0.06194526329636574, 0.0021654674783349037, 0.964506208896637]","[[0.9923161902114884, -0.03597775670109182, -0.11838150645734308], [-0.02762332938902079, 0.8682187025427067, -0.4954122125172179], [0.12060485778698377, 0.4948756507047972, 0.860553649751794]]","[0.011581000871956348, -0.22589175403118134, 0.14031493663787842]",[0.6977166459983344],"[0.2579710471455147, 0.07812716043183514, -0.020934109544646987, 0.9627610548288073]",[0.68],"[3.106004744684168, 13.1559924046186, -18.194711672498848]","[560.5890502929688, 562.4658203125, 552.9231567382812, 555.2340698242188]"
2.6260204315186,"[0.04681398719549179, 1.4353841543197632, -4.427496910095215]","[0.17165380535091224, 5.309570974973755, -5.317037250325052]","[0.35611584782600403, 3.837839126586914, 0.3950631320476532]","[0.9398531247748932, 1.0709347683812904, 0.027072049107203598]","[0.2567102909088135, -0.0657745748758316, 0.0033605133648961782, 0.9642418026924133]","[[0.991324824499656, -0.04025071543143541, -0.12511983257218706], [-0.027289325571677653, 0.8681770669828734, -0.4955036600270975], [0.12857054602620888, 0.4946195146753351, 0.859547063682832]]","[0.009835314936935902, -0.23622176051139832, 0.1441485732793808]",[0.7017912759513865],"[0.25787070696161307, 0.08261217955969148, -0.022135866797994234, 0.9623865801644454]",[0.68],"[3.2985389188875684, 13.207676322043813, -18.273020656055696]","[562.49658203125, 562.5309448242188, 556.2830200195312, 556.6697387695312]"
2.6570203304291,"[0.05934127792716026, 1.56501305103302, -4.414380073547363]","[0.20076017434834628, 5.342705673835801, -5.316198490856552]","[0.4036090075969696, 4.01838493347168, 0.3996955454349518]","[0.9379835084152004, 1.0667954699780533, 0.027041641681976293]","[0.2567044794559479, -0.07011063396930695, 0.004701957572251558, 0.96393221616745]","[[0.9901247811988212, -0.04506016436072641, -0.1327497704158603], [-0.026930690828943338, 0.8681614036444791, -0.4955507500167416], [0.13757782469989546, 0.49423212111159226, 0.8583746184633454]]","[0.008106846362352371, -0.24171780049800873, 0.14760422706604004]",[0.7062495185702242],"[0.2577565500064995, 0.08743351877586458, -0.023427740747404318, 0.9619605406079242]",[0.68],"[3.7272039691221828, 14.076302278540266, -18.32409042597077]","[564.0672607421875, 563.064453125, 559.0701904296875, 558.361083984375]"
